Tag;pNR;pVersion;pName;Dauer;Uhrzeit;Teilnehmer;RÃ¤ume;PrÃ¼fer
6;1040;182;Grundlagen Bau 1;3;8;150;"2/264" "2/301" "2/214" "1/010" "1/013" "1/020" "L/107" "L/106" "L/111" "L/116" "L/123" "L/125" "L/126" "L/128" ;346/6281;
6;1060;182;Fremdsprache;2;8;7;"1/U27" ;2839/0;
6;2020;182;Grundlagen Physik 2;3;8;53;"1/U28" "3/323" "8/008" "8/023" ;1471/1436;
6;2040;182;Grundlagen Bau 2;3;8;39;"8/043" "8/141" "8/146" "8/341" ;346/6281;
6;3010;182;Schallschutz 1;4;8;77;"8/346" "8/003" "1/U37" "1/106" "1/108" "1/109" ;3615/1471;
6;3030;182;Mathematik 3;2;8;84;"1/110" "1/111" "1/303" "1/306" "1/206" "1/208" "1/209" "1/210" ;346/0;
6;4010;182;Schallschutz 2;4;8;28;"1/211" "1/220" ;3615/1471;
6;4030;182;Mathematik 4;2;8;17;"1/222" "1/225" ;1436/0;
6;2050;132;Versicherungsmathem.;4;10;1;"1/U27" ;17/0;
6;4030;132;Mathematik 4;3;10;8;"1/110" ;1436/0;
6;1020;182;Grundlagen Physik 1;3;10;134;"1/111" "1/303" "1/306" "1/206" "1/208" "1/209" "1/210" "1/222" "1/225" ;1436/1471;
